original,new,new_word
(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩[구매옵션] 맛선택:검은콩 / 수량:7개입,모닝죽검은콩,0
(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩[구매옵션] 맛선택:귀리 / 수량:7개입,모닝죽귀리,0
(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩[구매옵션] 맛선택:단호박 / 수량:7개입,모닝죽 단호박,0
(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩[구매옵션] 맛선택:단팥 / 수량:7개입,모닝죽단팥,0
(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩[구매옵션] 맛선택:고구마 / 수량:7개입,모닝죽꿀고구마,0
(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩[구매옵션] 맛선택:고구마 / 수량:7개입+랜덤2팩증정,모닝죽꿀고구마,0
(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩[구매옵션] 맛선택:단호박 / 수량:7개입+랜덤2팩증정,모닝죽 단호박,0
(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩[구매옵션] 맛선택:단팥 / 수량:7개입+랜덤2팩증정,모닝죽단팥,0
(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩[구매옵션] 맛선택:단팥,모닝죽단팥,0
(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩[구매옵션] 맛선택:고구마,모닝죽꿀고구마,0
(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩[구매옵션] 맛선택:단호박,모닝죽 단호박,0
[손잡이상자] (쓱배송) 닥터넛츠 오리지널뉴 1개월패키지(28gx30팩),닥터너츠오리지널뉴,0
"오리지널뉴(28gx30봉)  [아몬드,호두,피칸,캐슈넛,피스타치오][구매옵션] 닥터넛츠 N개월 패키지:1개월 패키지",닥터너츠오리지널뉴,0
"오리지널뉴(28gx30봉)  [아몬드,호두,피칸,캐슈넛,피스타치오][구매옵션] 닥터넛츠 N개월 패키지:2개월 패키지",닥터너츠오리지널뉴,0
"오리지널뉴(28gx30봉)  [아몬드,호두,피칸,캐슈넛,피스타치오][구매옵션] 닥터넛츠 N개월 패키지:1개월 패키지(14%할인)",닥터너츠오리지널뉴,0
[SSG단독/슈퍼푸드 12종추가]밀스 프리미엄S 보틀형 5개입(75gx5개)/300kcal,밀스,0
"[6종set]에센셜 향신료 세트+쇼핑백/총중량 184g/ (흑후추 분말,피클링스파이스,파프리카시즈닝,바베큐스테이크시즈닝,스모크향 분말,페퍼로치노)",에센셜향신료6종세트,0
"모닝죽 달달한 3종(단호박,꿀고구마,우유) 선물세트/총중량 2,730g",모닝죽3종선물세트(set),0
5종 견과와 아카시아꿀로 만든 홀넛츠바 10개입(38gx10개),홀넛츠바,0
"[2박스구성/손잡이상자] 닥터넛츠 프리미엄골드 2박스(28gx30팩)+(28gx30팩) [마카다미아,피칸,헤이즐넛,브라질넛,아몬드,캐슈넛]",닥터너츠프리미엄골드,0
(신제품) 통귀리가 듬뿍 모닝 귀리(50gx6개)/208kcal,모닝귀리,0
"[6종set]에센셜 허브 세트+쇼핑백/총중량 68g/ (파슬리,바질,로즈마리,오레가노,타임,이탈리안허브믹스)",에센셜허브6종세트,0
13가지 슈퍼푸드로 만든 슈퍼바 20개입(28gx20팩),슈퍼바,0
"[6종set]에센셜 천연조미료 세트+쇼핑백/총중량 191g/ (생강분말,마늘그래뉼,멸치분말,다시마분말,새우분말,표고분말)",에센셜천연조미료6종세트,0
간편한 미래식사 밀스 3.1 소이 파우치(98gx7개),밀스3.소이파우치형,0
간편한 미래식사 밀스 3.1 코코넛 파우치(98gx7개),밀스3.1코코넛파우치형,0
(3+1제외)한끼 149kcal 곤약 현미밥(125g) 5개+ 백미밥(125g) 5개,한끼곤약현미밥,0
[SSG특별기획] 닥터넛츠 프리미엄 견과 5종 골드 선물세트 [피스타치오 피칸 마카다미아 헤이즐넛 사차인치넛],닥터너츠프리미엄골드,0
간편한 밀스 3.1 소이 보틀 (98gx7개)/400kcal,밀스3.1소이보틀형,0
7가지 곡물 견과로 만든 그래놀라바 10개입(28gx10팩),그레놀라바,0
(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,모닝죽꿀고구마,0
밀스 라이트 벨벳카카오(52gx7개)/175kcal,밀스라이트벨벳카카오,0
[12종set]에센셜 허브+천연조미료 세트+쇼핑백/총중량 248g,에센셜천연조미료6종세트,0
(신제품) 밀스 라이트 로얄밀크티(45gx7개)/175kcal,밀스라이트로얄밀크티,0
(3+랜덤증정)간편한 아침 모닝죽 컵형 까르보나라(30gx7개)/130kcal,모닝죽까르보나라컵,0
(신제품) 통귀리가 듬뿍 모닝 귀리 쉐이크(50gx12개)/208kcal,모닝귀리,0
(3+랜덤증정)간편한 아침 모닝죽 우유/타락죽(130gx7팩)/100kcal,모닝죽우유,0
"간편하게 후루룩 모닝수프 3종 체험팩(각 2개, 총 6개)",모닝죽3종선물세트(set),0
(3+랜덤증정)간편한 아침 모닝 수프 3종(양송이/감자/채소)(30gx7개입)[구매옵션] 맛 선택:모닝수프 감자,모닝스프감자,0
(3+랜덤증정)간편한 아침 모닝죽 누룽지(130gx7팩)/60kcal,모닝죽누룽지,0
(3+1제외)한끼 버터치킨 커리(120g) 5개+스파이시 비프커리(120g) 5개,한끼버터치킨커리,0
(3+1제외)한끼 버터치킨 커리(120g) 5개 / 185kcal,한끼버터치킨커리,0
(신제품) 밀스 라이트 스윗그레인(48gx7개)/175kcal,밀스라이트스윗그레인,0
모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입)[구매옵션] 맛선택:단호박,모닝죽 단호박,0
모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입)[구매옵션] 맛선택:단팥,모닝죽단팥,0
모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입)[구매옵션] 맛선택:귀리,모닝죽귀리,0
모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입)[구매옵션] 맛선택:검은콩,모닝죽검은콩,0
모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입)[구매옵션] 맛선택:06단호박2주+고구마2주,모닝죽 단호박,0
모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입)[구매옵션] 맛선택:01단호박1개월,모닝죽 단호박,0
모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입)[구매옵션] 맛선택:04단호박2주+단팥1주+고구마1주,모닝죽3종선물세트(set),0
모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입)[구매옵션] 맛선택:고구마,모닝죽꿀고구마,0
[손잡이상자] 닥터넛츠 오리지널뉴(28gx30팩)+프리미엄골드(28gx30팩),닥터너츠오리지널뉴,0
"모닝죽 3종(단호박,검은콩,단팥)선물세트/총중량 2,730g",모닝죽3종선물세트(set),0
(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,밀스드링크,0
간편한 밀스 3.1 코코넛 보틀 (98gx7개)/400kcal,밀스3.1코코넛보틀형,0
밀스 라이트 말차라떼(50gx7개)/175kcal,밀스라이트말차라떼,0
밀스 라이트 카페라떼(50gx7개)/175kcal,밀스라이트카페라떼,0
"모닝죽 3종(단호박,우유,단팥) 선물세트/총중량 2,730g",모닝죽3종선물세트(set),0
6가지 씨앗으로 만든 씨드바 20개입(28gx20팩),씨드바,0
[쇼핑백증정]세상 모든 조미료/향신료 18종 선물세트,세상모든향신료18종선물세트(set),0
간편한 밀스 3.1 그레인 보틀 (98gx7개)/400kcal,밀스3.1그레인보틀형,0
"전용 쉐이커(500ml, 쉐이커볼 포함)",인테이크쉐이커500ML,0
간편한 미래식사 밀스 3.1 그레인 파우치(98gx7개),밀스3.1그레인파우치형,0
밀스3.0 핑크 파우치(97gx7개),밀스3.0핑크파우치형,1
13가지 슈퍼푸드로 만든 슈퍼바 10개입(28gx10개),슈퍼바,0
모닝 그래놀라 컵형 (30gx7개)/125kcal,모닝그래놀라,0
7가지 곡물 견과로 만든 그래놀라바 (28gx20팩),그레놀라바,0
[12종set]에센셜 향신료+천연조미료 세트+쇼핑백/총중량 375g,에센셜향신료6종세트,0
5종 견과와 아카시아꿀로 만든 홀넛츠바 20개입(38gx20팩),홀넛츠바,0
6가지 씨앗으로 만든 씨드바 10개입(28gx10개) 치아씨드/아마씨드/바질씨드,씨드바,0
[쓱배송][SSG단독 신제품] 배고플땐 쓱! 밀스 프리미엄S 론칭,밀스,0
[옵션有/3+1증정] 차게 먹어도 맛있는 모닝죽 단호박 꿀고구마 외(택1),모닝죽꿀고구마,0
